date,test_realized,imported_cases,contact_cases,community_cases,healed,deceaded,under_treatment
2020-04-01,195,1,14,0,5,0,145
2020-04-02,127,2,3,0,10,0,138
2020-04-03,153,7,5,0,11,0,139
2020-04-04,177,1,10,1,6,1,144
2020-04-05,92,0,2,1,10,0,137
2020-04-06,95,0,3,1,10,0,131
2020-04-07,110,0,9,2,13,0,129
2020-04-08,108,0,2,5,8,0,128
2020-04-09,199,0,6,0,10,0,124
2020-04-10,195,0,15,0,14,0,125
2020-04-11,173,0,12,1,15,0,123
2020-04-12,104,0,1,1,19,0,106
2020-04-13,144,0,10,1,7,0,110
2020-04-14,272,0,6,2,5,0,113
2020-04-15,227,0,14,1,7,0,121
2020-04-16,435,0,19,2,4,0,138
2020-04-17,287,0,7,2,4,1,141
2020-04-18,226,0,3,5,13,0,135
2020-04-19,313,0,15,2,9,1,143
2020-04-20,281,0,5,5,15,1,136
2020-04-21,466,0,34,1,7,1,164
2020-04-22,482,0,26,4,11,0,182
2020-04-23,387,0,29,8,4,0,215
2020-04-24,528,0,61,5,5,1,276
2020-04-25,703,0,63,6,14,1,330
2020-04-26,579,1,47,9,7,1,380
2020-04-27,677,0,50,14,1,0,442
2020-04-28,873,0,86,1,12,0,517
2020-04-29,800,0,51,8,19,0,557
2020-04-30,1161,0,40,11,19,0,589
